year,zone_id,total
2030,9,203.007017181
2030,8,568.217230694
2030,11,597.67323009
2030,10,1888.70737069
2030,13,668.453123263
2030,12,437.700620388
2030,15,194.575689035
2030,14,2054.8317521
2030,17,2839.17880765
2030,16,505.739331547
2030,19,11933.2818291
2030,18,6382.99507608
2030,31,5424.33655808
2030,30,1079.19969981
2030,51,115.061675448
2030,50,131.674250693
2030,53,168.583214905
2030,52,363.592754107
2030,55,596.238118268
2030,48,26.4626839103
2031,54,187.885374413
2031,42,2776.8803957
2031,49,439.318500797
2031,24,174.651355197
2031,25,2477.1086416
2031,26,275.416989978
2031,27,445.188657712
2031,20,3090.67277717
2031,21,4114.5219055
2031,22,873.474669369
2031,23,454.261556951
2031,46,85.3589009652
2031,47,0.0
2031,44,1135.20589454
2031,45,930.542166938
2031,28,1832.87457135
2031,43,2918.33187047
2031,40,470.817470356
2031,41,4308.75123084
2031,1,855.35799781
2031,3,154.595087271
2031,2,821.291712185
2031,5,5677.50775017
2031,4,2192.72125268
2031,7,755.016300687
2031,6,1630.39854766
2031,9,214.555915203
2031,8,599.542163601
2031,11,625.750556388
2031,10,1976.67810859
2031,13,703.038208406
2031,12,458.823170591
2031,15,205.391215309
2031,14,2145.95672785
2031,17,2979.9140983
2031,16,527.86132657
2031,19,12655.6244616
2031,18,6698.10822219
2031,31,5761.77520503
2031,30,1130.26416569
2031,51,121.928290585
2031,50,139.01641993
2031,53,179.541997485
2031,52,387.053604901
2031,55,634.806132933
2031,48,26.7376934041
2032,54,195.599055973
2032,42,2929.63371846
2032,49,462.767888911
2032,24,182.321781713
2032,25,2606.38836555
2032,26,287.679904177
2032,27,471.867753487
2032,20,3243.61225768
2032,21,4350.44388166
2032,22,918.969698411
2032,23,477.18164841
2032,46,89.9459133265
2032,47,0.0
2032,44,1197.61884848
2032,45,980.640040796
2032,28,1909.39351878
2032,43,3078.95830163
2032,40,487.316452521
2032,41,4545.94141328
2032,1,899.058188463
2032,3,161.947570458
2032,2,869.368403117
2032,5,5933.16041188
2032,4,2303.63096601
2032,7,782.154043224
2032,6,1710.43997895
2032,9,227.216838633
2032,8,632.738852059
2032,11,652.416799987
2032,10,2059.66610507
2032,13,735.009196572
2032,12,480.382221207
2032,15,215.05661698
2032,14,2228.27856088
2032,17,3122.01573274
2032,16,549.13868138
2032,19,13400.2082275
2032,18,6992.55721644
2032,31,6113.44259689
2032,30,1179.77232303
2032,51,127.911559526
2032,50,145.448313297
2032,53,189.410902198
2032,52,407.753004794
2032,55,668.971364994
2032,48,27.0178875925
2033,54,202.9905667
2033,42,3078.09094852
2033,49,485.515701623
2033,24,189.703936071
2033,25,2731.6207327
2033,26,299.503330548
2033,27,498.212406311
2033,20,3391.22141637
2033,21,4580.69723997
2033,22,963.143107166
2033,23,499.3796246
2033,46,94.4749138862
2033,47,0.0
2033,44,1258.27469815
2033,45,1029.24169604
2033,28,1982.46926359
2033,43,3235.07206608
2033,40,502.884874939
2033,41,4776.47406606
2033,1,941.367723427
2033,3,169.087404426
2033,2,916.488737639
2033,5,6178.70912897
2033,4,2411.12292863
2033,7,807.706036414
2033,6,1787.64341091
2033,9,239.703836136
2033,8,665.219267212
2033,11,677.989935845
2033,10,2138.9884592
2033,13,765.751892505
2033,12,501.213327147
2033,15,224.39382404
2033,14,2306.34279839
2033,17,3259.19981754
2033,16,569.38470747
2033,19,14128.8389407
2033,18,7274.46134788
2033,31,6458.19543075
2033,30,1227.25456225
2033,51,133.694037913
2033,50,151.684411796
2033,53,199.024993473
2033,52,427.851752427
2033,55,702.131585351
2033,48,27.2921203435
2034,54,210.037192807
2034,42,3221.71069293
2034,49,507.491108897
2034,24,196.78720007
2034,25,2852.40336455
2034,26,310.873906595
2034,27,524.163666258
2034,20,3533.08655913
2034,21,4804.33480123
2034,22,1005.84572695
2034,23,520.799217898
2034,46,98.9279943262
2034,47,0.0
2034,44,1316.95244186
2034,45,1076.19442489
2034,28,2051.97629072
2034,43,3386.10340948
2034,40,517.490053702
2034,41,4999.5079951
2034,1,982.154614652
2034,3,175.99654046
2034,2,962.481101085
2034,5,6413.68462079
2034,4,2514.87434389
2034,7,831.65368956
2034,6,1861.81244292
2034,9,251.975348449
2034,8,696.873087633
2034,11,702.452281026
2034,10,2214.51921498
2034,13,795.182092565
2034,12,521.2733769
2034,15,233.38765063
2034,14,2380.03559274
2034,17,3391.1389757
2034,16,588.575407841
2034,19,14838.6981446
2034,18,7543.26454413
2034,31,6794.88294996
2034,30,1272.62569831
2034,51,139.259549654
2034,50,157.705315674
2034,53,208.343762227
2034,52,447.283233976
2034,55,734.181556267
2034,48,27.561108831
2035,54,217.015862069
2035,42,3357.97806202
2035,49,528.250680756
2035,24,202.831313663
2035,25,2964.93930845
2035,26,320.496105298
2035,27,547.612084379
2035,20,3662.73167929
2035,21,5008.65498615
2035,22,1043.58678632
2035,23,540.437553323
2035,46,102.965678238
2035,47,0.0
2035,44,1372.61709181
2035,45,1120.57525508
2035,28,2111.2052307
2035,43,3529.42718918
2035,40,532.960937213
2035,41,5211.15289697
2035,1,1018.09623285
2035,3,182.175714424
2035,2,1005.98715041
2035,5,6619.84576357
2035,4,2609.73546842
2035,7,850.579831635
2035,6,1929.59021871
2035,9,262.772206653
2035,8,726.244266785
2035,11,722.634628312
2035,10,2278.90876106
2035,13,821.269716322
2035,12,539.131630649
2035,15,241.309468247
2035,14,2440.36372243
2035,17,3509.08621117
2035,16,604.749394591
2035,19,15514.2385645
2035,18,7778.25355435
2035,31,7117.00937489
2035,30,1311.94687518
2035,51,144.690963866
2035,50,163.554427161
2035,53,217.218845726
2035,52,465.62187066
2035,55,764.259910833
2035,48,27.825409594
2036,54,223.652657333
2036,42,3488.73285349
2036,49,548.115107658
2036,24,208.540832354
2036,25,3072.38502416
2036,26,329.538962575
2036,27,570.408089051
2036,20,3785.92520879
2036,21,5204.90848944
2036,22,1079.57708762
2036,23,559.149703469
2036,46,106.874829955
2036,47,0.0
2036,44,1426.02757824
2036,45,1163.05808857
2036,28,2166.36426353
2036,43,3666.95912683
2036,40,547.5868644
2036,41,5414.25043852
2036,1,1052.20547381
2036,3,188.075910827
2036,2,1048.09727537
2036,5,6813.77422867
2036,4,2700.23081764
2036,7,867.676347742
2036,6,1993.90232539
2036,9,273.222001946
2036,8,754.590143741
2036,11,741.422176229
2036,10,2338.94824006
2036,13,845.858702196
2036,12,556.067858486
2036,15,248.799644879
2036,14,2495.75662085
2036,17,3620.90199184
2036,16,619.720086894
2036,19,16167.5171397
2036,18,7998.3353932
2036,31,7428.99283013
2036,30,1348.81572871
2036,51,149.891052724
2036,50,169.174605086
2036,53,225.751351669
2036,52,483.189664209
2036,55,793.093952405
2036,48,28.0843108603
